                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1712,                 5.6265,                 4.1131,                 4.0512,                 7.7658,                  3.803,                0.07034,                0.00755,                0.00124,                0.00028,                 3.7813,                 5.3174,                 3.6664,                 3.4014,                 6.0856,                 3.1074,                0.07009,              0.0033233,              0.0033233
                      2,                 3.6405,                 4.3952,                  2.995,                 3.3931,                 4.7033,                 2.3925,                0.67467,                0.00926,                0.00386,                0.00109,                 3.1317,                 6.6936,                 2.6984,                 2.8757,                 7.9648,                 2.2435,               0.040057,              0.0066237,              0.0066237
                      3,                 3.1352,                 3.7208,                  2.339,                 2.9131,                 3.9619,                 1.9059,                0.64018,                0.05988,                0.01807,                0.00634,                 2.7964,                 4.0271,                 2.2372,                 2.5016,                 4.3729,                 1.9231,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.7043,                 3.2172,                 2.0029,                 2.5739,                 3.5363,                 1.6869,                0.56224,                0.07894,                0.05185,                0.02212,                 2.4126,                 3.4565,                 1.9403,                 2.2219,                 3.6914,                  1.676,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4586,                  2.864,                 1.8147,                 2.3847,                 3.2238,                  1.545,                0.66585,                0.14077,                  0.098,                0.04524,                  2.251,                  2.811,                 1.8505,                 2.1067,                 3.1531,                  1.617,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.3143,                 2.6455,                 1.7382,                 2.2931,                 3.0631,                 1.5094,                0.61521,                0.15115,                   0.11,                0.05102,                 2.2166,                 2.8999,                 1.7594,                 2.0638,                  3.492,                 1.5492,               0.009802,               0.009802,               0.009802
                      7,                 2.2027,                 2.3824,                 1.6141,                 2.2189,                 2.7818,                 1.4089,                0.58077,                0.16388,                0.15153,                0.07341,                 2.0164,                  2.321,                 1.6503,                 1.9354,                 2.6647,                 1.4806,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.0989,                  2.203,                 1.5534,                 2.1336,                 2.6002,                  1.372,                0.58259,                0.17709,                0.15452,                0.07694,                 2.0067,                 2.3256,                 1.6383,                 1.9087,                 2.7815,                 1.4514,               0.009703,               0.009703,               0.009703
                      9,                 2.0414,                 2.1306,                 1.5172,                 2.0981,                 2.5528,                 1.3448,                0.66463,                0.18666,                0.18206,                0.09757,                 1.9383,                 2.1475,                 1.6152,                 1.8326,                  2.577,                 1.4274,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.9764,                 1.9694,                 1.4768,                 2.0463,                 2.3758,                 1.3165,                0.68304,                0.15533,                0.16739,                0.09066,                 1.9085,                 2.2246,                 1.6062,                 1.8399,                 2.7443,                 1.4322,               0.009604,               0.009604,               0.009604
                     11,                 1.9408,                 1.9909,                 1.4775,                 2.0242,                 2.4203,                  1.327,                0.54799,                0.19796,                0.19756,                0.10748,                 1.8945,                 2.0789,                 1.5854,                 1.8199,                 2.4597,                 1.4198,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8838,                 1.8572,                  1.443,                 1.9856,                 2.2766,                 1.3045,                0.54157,                0.23668,                0.25107,                0.13144,                 1.8221,                 1.8999,                 1.5318,                 1.8076,                 2.2422,                 1.4118,               0.009505,               0.009505,               0.009505
                     13,                 1.8724,                 1.8393,                 1.4269,                  1.963,                 2.2593,                 1.2902,                0.70692,                0.22673,                0.22532,                0.12266,                 1.8175,                 2.0447,                 1.5239,                  1.769,                 2.5537,                 1.3764,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.8117,                 1.7848,                  1.398,                  1.929,                 2.1749,                 1.2704,                0.75776,                0.21839,                 0.2339,                0.12728,                 1.7816,                 1.7592,                 1.4951,                 1.7577,                 2.1406,                  1.364,               0.009406,               0.009406,               0.009406
                     15,                 1.8413,                 1.7724,                 1.3912,                 1.9614,                 2.1594,                 1.2668,                0.74227,                0.23279,                0.25452,                0.13467,                 1.7956,                 1.7445,                 1.5172,                 1.8036,                 2.1409,                 1.3944,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.798,                 1.6861,                 1.3805,                 1.9135,                 2.0718,                 1.2557,                0.76322,                0.24274,                0.26465,                0.14936,                 1.7588,                 1.6773,                 1.4642,                 1.7557,                 2.0135,                 1.3465,               0.009307,               0.009307,               0.009307
                     17,                 1.7678,                 1.6422,                 1.3528,                 1.8915,                 2.0132,                 1.2369,                0.71907,                 0.2618,                0.28499,                0.15772,                  1.716,                 1.6585,                 1.4384,                 1.7112,                 1.9969,                 1.3273,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.7109,                   1.58,                 1.3228,                 1.8506,                 1.9419,                 1.2141,                0.69805,                0.29538,                 0.3062,                0.16878,                 1.7116,                 1.6281,                 1.4574,                 1.7355,                 1.9745,                 1.3362,               0.009208,               0.009208,               0.009208
                     19,                 1.7307,                 1.5962,                 1.3518,                 1.8559,                 1.9638,                 1.2361,                0.76578,                0.26501,                0.31698,                0.17538,                 1.6685,                 1.5664,                 1.4134,                  1.697,                 1.8808,                 1.3266,              0.0091585,              0.0091585,              0.0091585
