                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6315,                 1.4299,                 1.2752,                 1.7965,                 1.7561,                 1.1922,                0.46955,                0.34471,                0.35444,                0.20705,                  1.591,                 1.4778,                 1.3347,                 1.6671,                 1.7314,                 1.2673,               0.008911,               0.008911,               0.008911
                     25,                 1.6272,                 1.4477,                 1.2719,                 1.7943,                 1.7696,                 1.1942,                0.52788,                0.33039,                0.35618,                0.20489,                 1.6213,                 1.4426,                 1.3534,                 1.7008,                 1.6943,                 1.2845,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6118,                 1.3962,                 1.2598,                 1.7948,                 1.7094,                 1.1818,                0.56982,                0.36527,                0.37316,                0.22138,                 1.5766,                 1.3852,                 1.3306,                 1.6224,                 1.6363,                 1.2561,               0.008812,               0.008812,               0.008812
                     27,                 1.6071,                 1.3724,                 1.2439,                 1.7936,                 1.6609,                 1.1616,                0.45286,                0.37905,                0.35436,                0.21203,                 1.5748,                 1.4442,                 1.3264,                 1.6341,                 1.7847,                 1.2617,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5977,                 1.3942,                 1.2618,                 1.7653,                 1.6905,                 1.1814,                0.53192,                0.35233,                 0.3837,                0.22089,                 1.5776,                  1.428,                 1.3242,                 1.6284,                 1.7271,                 1.2599,               0.008713,               0.008713,               0.008713
                     29,                 1.5891,                 1.3873,                 1.2606,                 1.7973,                 1.7147,                 1.1956,                0.69757,                0.34299,                0.37506,                0.21823,                 1.5825,                 1.3888,                 1.3328,                 1.6662,                 1.7362,                 1.2769,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5638,                 1.3531,                 1.2331,                 1.7477,                 1.6504,                 1.1668,                0.58826,                 0.3751,                0.37365,                0.22171,                 1.5596,                  1.383,                 1.3146,                 1.6373,                 1.6286,                  1.259,               0.008614,               0.008614,               0.008614
                     31,                 1.5779,                 1.3555,                 1.2341,                 1.7691,                 1.6356,                 1.1678,                0.57049,                0.37127,                0.38789,                0.22876,                 1.5467,                 1.3756,                 1.3223,                 1.6208,                   1.61,                 1.2572,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5407,                 1.2924,                 1.2171,                 1.7241,                 1.5477,                 1.1517,                0.55824,                0.36721,                 0.3865,                0.23299,                 1.5365,                 1.3334,                 1.3207,                 1.6204,                 1.5631,                 1.2611,               0.008515,               0.008515,               0.008515
                     33,                 1.5739,                 1.3053,                 1.2194,                 1.7577,                 1.5874,                 1.1523,                0.58466,                0.38288,                0.40519,                0.24282,                 1.5425,                 1.3523,                 1.3054,                 1.6248,                  1.621,                 1.2474,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5329,                 1.2733,                 1.2274,                 1.7226,                 1.5429,                 1.1639,                0.47452,                0.39701,                0.40159,                0.23352,                 1.5546,                 1.3707,                 1.3002,                 1.6446,                 1.6447,                 1.2511,               0.008416,               0.008416,               0.008416
                     35,                 1.5178,                  1.266,                 1.1992,                 1.7092,                 1.5324,                 1.1379,                0.46954,                0.38548,                0.39443,                0.22811,                 1.5144,                 1.3462,                 1.2913,                 1.6095,                 1.6825,                 1.2442,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5311,                 1.2785,                 1.2042,                 1.7165,                 1.5436,                 1.1407,                0.61759,                0.40686,                0.41709,                0.24732,                 1.5265,                 1.2701,                 1.2886,                 1.6133,                 1.5191,                 1.2407,               0.008317,               0.008317,               0.008317
                     37,                 1.5205,                 1.2599,                 1.2002,                 1.7298,                 1.5112,                 1.1377,                0.58968,                0.40556,                0.42734,                0.24808,                  1.507,                 1.2471,                 1.2787,                 1.6014,                 1.4538,                 1.2363,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5011,                  1.229,                 1.1829,                 1.6916,                 1.4812,                  1.127,                0.66298,                0.39168,                0.42281,                0.24668,                 1.5003,                 1.2551,                 1.2784,                 1.6013,                 1.5039,                 1.2386,               0.008218,               0.008218,               0.008218
                     39,                 1.5083,                 1.2231,                 1.1956,                 1.7001,                 1.4772,                 1.1372,                0.54588,                0.40445,                0.42752,                0.25711,                 1.4993,                 1.2814,                 1.2767,                 1.5839,                 1.5249,                 1.2287,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4883,                 1.2315,                 1.1993,                 1.6924,                 1.5043,                 1.1435,                0.57607,                0.41843,                0.44043,                0.25971,                 1.4869,                 1.2091,                 1.2772,                 1.5953,                 1.4096,                 1.2367,               0.008119,               0.008119,               0.008119
                     41,                 1.4854,                 1.1955,                 1.1796,                 1.6924,                 1.4482,                  1.128,                0.53644,                0.38742,                0.41238,                0.24892,                 1.5005,                 1.2886,                 1.2819,                   1.61,                 1.5321,                 1.2386,              0.0080695,              0.0080695,              0.0080695
                     42,                   1.47,                  1.183,                 1.1844,                 1.6663,                 1.4311,                 1.1308,                0.61675,                0.40552,                0.43782,                 0.2593,                 1.4943,                 1.2098,                 1.2738,                 1.5976,                 1.4213,                 1.2337,                0.00802,                0.00802,                0.00802
                     43,                  1.476,                 1.1818,                 1.1773,                 1.6799,                 1.4122,                 1.1244,                0.55012,                0.43832,                0.44119,                0.26383,                 1.4902,                   1.19,                 1.2787,                 1.5897,                 1.4052,                 1.2334,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4537,                 1.1508,                 1.1712,                 1.6479,                 1.3855,                 1.1227,                0.61879,                0.42032,                0.44545,                0.26624,                 1.4635,                 1.1864,                 1.2587,                 1.5737,                 1.3826,                 1.2208,               0.007921,               0.007921,               0.007921
                     45,                 1.4621,                 1.1793,                 1.1692,                 1.6697,                 1.4145,                 1.1142,                0.58579,                0.43104,                 0.4554,                0.27422,                 1.4537,                  1.161,                 1.2543,                 1.5662,                  1.343,                 1.2203,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4429,                 1.1773,                 1.1681,                 1.6491,                 1.4188,                 1.1217,                0.62061,                0.44029,                 0.4548,                0.27163,                 1.4689,                  1.169,                 1.2638,                 1.5865,                  1.348,                 1.2285,               0.007822,               0.007822,               0.007822
                     47,                 1.4542,                 1.1756,                 1.1751,                  1.655,                 1.4108,                 1.1228,                0.60543,                0.41409,                0.44452,                0.26954,                 1.4554,                 1.1946,                 1.2493,                 1.5617,                 1.4489,                 1.2155,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4601,                 1.1684,                 1.1725,                 1.6607,                  1.411,                 1.1205,                0.52155,                0.42115,                 0.4437,                0.27042,                  1.467,                 1.2097,                 1.2638,                 1.5698,                 1.4516,                 1.2249,               0.007723,               0.007723,               0.007723
                     49,                 1.4315,                 1.1323,                 1.1516,                 1.6367,                  1.359,                 1.1027,                0.47912,                0.44024,                0.44786,                0.26902,                 1.4499,                 1.1905,                 1.2534,                 1.5618,                 1.4168,                 1.2205,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4312,                  1.119,                 1.1591,                  1.645,                  1.344,                 1.1121,                0.57872,                0.42676,                0.44179,                0.26597,                 1.4368,                 1.1883,                  1.241,                 1.5604,                 1.4466,                 1.2138,               0.007624,               0.007624,               0.007624
                     51,                 1.4171,                 1.1204,                 1.1523,                 1.6243,                 1.3542,                 1.1046,                0.61717,                0.44051,                0.46198,                0.28518,                 1.4364,                 1.1457,                 1.2399,                  1.549,                 1.3217,                 1.2084,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4059,                 1.0965,                 1.1427,                 1.6172,                  1.321,                 1.0978,                0.62193,                 0.4406,                 0.4694,                0.28728,                 1.4322,                 1.1671,                 1.2345,                 1.5442,                 1.4144,                 1.2051,               0.007525,               0.007525,               0.007525
                     53,                 1.4037,                 1.0734,                 1.1355,                  1.622,                   1.28,                 1.0904,                0.53667,                0.44955,                0.46995,                0.28743,                 1.4313,                 1.1449,                 1.2368,                 1.5488,                 1.3576,                 1.2053,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4157,                 1.1213,                 1.1484,                  1.632,                 1.3444,                 1.1038,                0.51365,                0.44989,                0.46611,                0.28038,                 1.4363,                 1.1363,                 1.2359,                 1.5474,                 1.3357,                 1.2002,               0.007426,               0.007426,               0.007426
                     55,                 1.4012,                 1.1011,                 1.1471,                 1.6108,                 1.3259,                 1.1026,                0.51375,                0.45254,                0.46091,                0.28171,                 1.4374,                 1.1435,                 1.2326,                 1.5465,                 1.3732,                 1.2018,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4014,                 1.0748,                  1.138,                 1.6076,                 1.2969,                  1.095,                0.53917,                0.45436,                0.47218,                0.28811,                 1.4391,                 1.1181,                 1.2402,                  1.554,                 1.2902,                 1.2097,               0.007327,               0.007327,               0.007327
                     57,                 1.3949,                  1.112,                 1.1533,                 1.6209,                 1.3497,                 1.1128,                0.59693,                0.47141,                0.48345,                0.29827,                 1.4222,                 1.1144,                 1.2308,                 1.5419,                 1.2754,                 1.2041,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.3932,                 1.0753,                 1.1367,                 1.6163,                 1.3024,                 1.0961,                0.61213,                0.46562,                0.48525,                0.30013,                 1.4211,                 1.1104,                 1.2285,                 1.5351,                 1.3006,                 1.1957,               0.007228,               0.007228,               0.007228
                     59,                 1.3897,                  1.073,                 1.1328,                 1.6049,                 1.2874,                   1.09,                0.62737,                0.45249,                0.48759,                0.29662,                 1.4153,                 1.1004,                 1.2229,                 1.5279,                 1.2793,                 1.1933,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3758,                  1.065,                 1.1286,                 1.5962,                 1.2819,                 1.0931,                0.59653,                0.45749,                0.47728,                0.29393,                 1.4167,                 1.1002,                 1.2198,                 1.5351,                 1.2606,                 1.1933,               0.007129,               0.007129,               0.007129
                     61,                 1.3679,                 1.0484,                 1.1232,                 1.5699,                 1.2396,                 1.0844,                0.59416,                0.49003,                0.47712,                0.29383,                  1.414,                 1.1337,                 1.2252,                 1.5405,                 1.3162,                 1.2011,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.368,                  1.042,                 1.1294,                 1.5807,                 1.2456,                 1.0927,                0.61936,                 0.4678,                 0.4891,                0.29947,                 1.4175,                 1.0815,                 1.2322,                 1.5395,                 1.2344,                 1.2054,                0.00703,                0.00703,                0.00703
                     63,                 1.3741,                 1.0408,                  1.124,                 1.5956,                 1.2476,                  1.082,                0.60138,                0.47124,                0.48414,                0.30097,                 1.4121,                 1.0974,                 1.2283,                 1.5286,                 1.2716,                  1.195,              0.0069805,              0.0069805,              0.0069805
