                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
32,1.5847,1.3462,1.2406,1.7673,1.6284,0.39601,0.57317,0.36361,0.39601,0.23298,1.5645,1.2811,1.3235,1.6328,1.4642,1.2626,0.00901,0.00901,0.00901
33,1.5549,1.3073,1.2204,1.7609,1.5726,0.40386,0.62346,0.36602,0.40386,0.24064,1.5483,1.3035,1.3132,1.63,1.5223,1.2584,0.008977,0.008977,0.008977
34,1.5463,1.3152,1.2242,1.7373,1.5851,0.40643,0.61465,0.3941,0.40643,0.23991,1.5396,1.267,1.306,1.6493,1.4805,1.2607,0.008944,0.008944,0.008944
35,1.5162,1.2776,1.2091,1.7124,1.5334,0.40362,0.51579,0.40246,0.40362,0.23712,1.521,1.3183,1.2967,1.6308,1.6035,1.2516,0.008911,0.008911,0.008911
36,1.5503,1.3021,1.2233,1.7482,1.5667,0.41967,0.48811,0.41494,0.41967,0.24655,1.5277,1.2655,1.2921,1.625,1.4761,1.2481,0.008878,0.008878,0.008878
37,1.5315,1.2834,1.2092,1.7402,1.5533,0.42099,0.53402,0.3883,0.42099,0.24945,1.5179,1.2815,1.2849,1.623,1.4895,1.2382,0.008845,0.008845,0.008845
38,1.505,1.2453,1.1953,1.7083,1.4875,0.40911,0.53965,0.37716,0.40911,0.24394,1.5098,1.2689,1.2875,1.6114,1.5321,1.2409,0.008812,0.008812,0.008812
39,1.5143,1.2693,1.213,1.7118,1.5465,0.42713,0.47088,0.40848,0.42713,0.25958,1.5142,1.2666,1.2871,1.6329,1.4859,1.2416,0.008779,0.008779,0.008779
40,1.5034,1.2488,1.203,1.7059,1.5075,0.41887,0.48051,0.3972,0.41887,0.24594,1.5008,1.2186,1.2847,1.6083,1.4303,1.2438,0.008746,0.008746,0.008746
41,1.5183,1.2294,1.2014,1.7219,1.4823,0.43287,0.52792,0.40594,0.43287,0.26171,1.5014,1.2444,1.2794,1.6062,1.4637,1.2344,0.008713,0.008713,0.008713
