                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5087,                 1.2235,                  1.194,                0.59531,                0.45576,                 0.4661,                0.27464,                 1.5233,                  1.253,                 1.2751,               0.008317,               0.008317,               0.008317
                     36,                 1.5361,                 1.2485,                 1.2051,                0.63104,                 0.4426,                0.46346,                0.26774,                 1.5264,                  1.294,                 1.2808,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5267,                  1.239,                 1.1939,                0.58928,                0.42538,                0.46871,                0.27539,                 1.5165,                  1.244,                 1.2721,               0.008218,               0.008218,               0.008218
                     38,                 1.5036,                 1.2089,                 1.1796,                 0.6024,                0.45346,                0.47557,                0.28149,                 1.4989,                 1.1967,                 1.2673,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5009,                  1.221,                 1.1949,                0.54016,                 0.4426,                0.47026,                0.28196,                 1.5133,                 1.2366,                 1.2771,               0.008119,               0.008119,               0.008119
                     40,                 1.4961,                 1.2179,                 1.1857,                0.53082,                0.43273,                0.47104,                0.27702,                 1.5069,                 1.2599,                 1.2676,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5056,                 1.1917,                 1.1824,                0.59664,                0.43749,                0.47968,                0.28658,                 1.4927,                 1.2229,                  1.256,                0.00802,                0.00802,                0.00802
                     42,                 1.4788,                 1.1894,                 1.1724,                0.55174,                0.44118,                 0.4675,                0.27419,                 1.4888,                 1.2332,                 1.2518,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4554,                 1.1619,                 1.1663,                0.56838,                0.48155,                0.49343,                0.29155,                 1.4817,                 1.2208,                  1.255,               0.007921,               0.007921,               0.007921
                     44,                 1.4813,                 1.1688,                 1.1698,                0.63409,                0.47112,                0.49388,                0.29241,                 1.4869,                 1.1726,                 1.2521,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.467,                 1.1582,                  1.165,                0.55163,                0.46883,                0.48282,                 0.2908,                 1.4615,                 1.1607,                 1.2431,               0.007822,               0.007822,               0.007822
                     46,                  1.468,                  1.175,                 1.1667,                0.62619,                0.47099,                0.48966,                0.28986,                 1.4747,                 1.1659,                 1.2515,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.449,                  1.145,                 1.1554,                0.58154,                0.46713,                0.49328,                0.29255,                 1.4829,                  1.142,                 1.2547,               0.007723,               0.007723,               0.007723
                     48,                 1.4505,                 1.1598,                   1.16,                0.65127,                0.48435,                0.51244,                0.30613,                 1.4555,                 1.1359,                 1.2334,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4381,                 1.1296,                 1.1495,                0.64939,                0.48548,                0.51353,                0.30611,                 1.4591,                 1.1333,                 1.2398,               0.007624,               0.007624,               0.007624
                     50,                 1.4381,                 1.1285,                 1.1513,                0.65115,                0.47928,                0.49682,                0.29256,                 1.4514,                 1.1368,                 1.2328,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4473,                 1.1252,                  1.158,                0.57115,                0.47212,                0.50535,                0.30176,                 1.4577,                  1.165,                 1.2337,               0.007525,               0.007525,               0.007525
                     52,                  1.425,                  1.115,                 1.1504,                0.64129,                0.48508,                0.50751,                0.30678,                  1.445,                 1.1082,                 1.2273,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4107,                 1.0822,                 1.1339,                0.67945,                0.47511,                0.51295,                0.30786,                 1.4392,                 1.1213,                 1.2242,               0.007426,               0.007426,               0.007426
                     54,                 1.4228,                 1.1042,                 1.1412,                0.62688,                0.47646,                0.49171,                 0.2954,                 1.4407,                 1.1283,                 1.2213,              0.0073765,              0.0073765,              0.0073765
