               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19146,            0.035267,            0.076704,          0.00069914,            0.014023,          0.00036569,          8.7155e-05,             0.18391,            0.061286,            0.076244,             0.07009,           0.0033233,           0.0033233
                   1,              0.1556,            0.042453,            0.065056,             0.81287,            0.020147,           0.0073687,           0.0021798,             0.13474,            0.069217,            0.061264,            0.040057,           0.0066237,           0.0066237
                   2,             0.13678,            0.042169,            0.053244,            0.070465,            0.004595,           0.0022457,           0.0006538,             0.15297,             0.33074,            0.063317,           0.0099915,           0.0098911,           0.0098911
                   3,             0.11994,            0.047009,             0.04712,            0.085361,             0.04442,           0.0052271,           0.0012643,             0.16876,              0.1471,            0.064986,           0.0098515,           0.0098515,           0.0098515
                   4,             0.10717,            0.052805,            0.040761,             0.68483,             0.12662,            0.064221,            0.021683,             0.10522,             0.07734,            0.041108,           0.0098515,           0.0098515,           0.0098515
                   5,            0.099254,            0.052737,            0.036929,             0.74853,             0.13361,             0.11547,            0.043722,            0.094725,            0.073774,            0.039511,            0.009802,            0.009802,            0.009802
                   6,            0.093313,            0.049593,            0.032935,             0.74388,             0.12955,             0.12891,            0.049277,              0.1013,            0.077011,            0.042393,           0.0097525,           0.0097525,           0.0097525
                   7,             0.08866,             0.05144,            0.028842,             0.75988,             0.21248,              0.2243,            0.099731,            0.081082,             0.07082,            0.031568,            0.009703,            0.009703,            0.009703
                   8,            0.085777,            0.051787,            0.026032,             0.80593,             0.24013,             0.25384,             0.11566,            0.076258,            0.072557,            0.028188,           0.0096535,           0.0096535,           0.0096535
                   9,            0.083181,            0.051043,            0.023245,             0.84608,             0.26393,             0.29683,             0.13982,            0.072052,            0.070784,            0.024718,            0.009604,            0.009604,            0.009604
                  10,            0.080587,            0.049148,            0.021812,             0.84905,             0.27469,             0.30779,             0.15284,            0.070326,            0.067619,            0.022267,           0.0095545,           0.0095545,           0.0095545
                  11,            0.078094,            0.047721,            0.020292,             0.85843,             0.28882,             0.32886,             0.16552,            0.067751,            0.068435,            0.023847,            0.009505,            0.009505,            0.009505
                  12,            0.077157,            0.047357,            0.019423,             0.86418,             0.28372,             0.34403,             0.16527,            0.068692,            0.066945,            0.020275,           0.0094555,           0.0094555,           0.0094555
                  13,            0.076368,            0.046782,            0.018922,             0.85771,             0.29208,             0.37878,             0.18175,            0.064732,            0.067234,            0.020211,            0.009406,            0.009406,            0.009406
                  14,            0.075224,            0.047015,            0.017607,             0.88532,             0.30422,              0.3766,             0.18965,            0.063344,            0.068024,            0.017691,           0.0093565,           0.0093565,           0.0093565
                  15,            0.072537,            0.046471,            0.016885,             0.83762,             0.32318,              0.3876,             0.18909,            0.064405,            0.067541,             0.01832,            0.009307,            0.009307,            0.009307
                  16,            0.071164,            0.048215,            0.015908,             0.79964,             0.32241,             0.38215,             0.18941,            0.064004,            0.068696,            0.017287,           0.0092575,           0.0092575,           0.0092575
                  17,            0.070477,            0.047087,            0.015088,              0.7605,             0.34442,             0.41472,             0.21503,            0.061159,            0.065471,            0.016898,            0.009208,            0.009208,            0.009208
                  18,            0.069652,            0.047144,            0.014527,             0.72261,             0.37113,             0.40961,             0.21348,            0.061747,            0.064232,            0.018439,           0.0091585,           0.0091585,           0.0091585
                  19,            0.069096,            0.046673,            0.014218,             0.68221,             0.38813,             0.42318,             0.21753,            0.061764,            0.064721,            0.017196,            0.009109,            0.009109,            0.009109
                  20,            0.067931,             0.04556,            0.013633,              0.7867,             0.40355,             0.44102,             0.23549,            0.057897,            0.063684,            0.016246,           0.0090595,           0.0090595,           0.0090595
                  21,            0.066958,            0.045425,            0.013028,             0.80075,             0.39651,             0.43159,             0.22136,            0.059027,            0.064065,            0.015849,             0.00901,             0.00901,             0.00901
                  22,            0.066355,            0.045022,            0.012184,             0.68331,             0.40177,             0.44677,             0.23694,            0.057873,            0.063942,            0.013309,           0.0089605,           0.0089605,           0.0089605
                  23,            0.065315,            0.045186,            0.012565,             0.79115,             0.42547,             0.46431,              0.2559,            0.057472,            0.062868,            0.014842,            0.008911,            0.008911,            0.008911
                  24,            0.065016,            0.043904,            0.011742,             0.61116,             0.44667,             0.46384,             0.24957,            0.056113,            0.064344,             0.01281,           0.0088615,           0.0088615,           0.0088615
                  25,            0.063994,            0.045421,            0.011182,             0.76726,             0.43614,             0.46792,             0.25765,             0.05742,            0.063878,            0.014598,            0.008812,            0.008812,            0.008812
                  26,            0.063294,            0.042938,            0.011213,             0.79911,             0.43291,             0.47655,             0.26328,            0.055966,             0.06163,            0.012216,           0.0087625,           0.0087625,           0.0087625
                  27,            0.062317,            0.043126,            0.010335,             0.76379,             0.41354,             0.47063,             0.26408,            0.055146,            0.062077,            0.012403,            0.008713,            0.008713,            0.008713
                  28,            0.063202,            0.043733,            0.010328,             0.69184,             0.45021,             0.47264,             0.25369,            0.056308,            0.063581,             0.01339,           0.0086635,           0.0086635,           0.0086635
                  29,             0.06192,            0.042799,            0.010049,             0.80634,             0.44392,             0.47991,             0.27339,            0.054666,            0.061671,             0.01177,            0.008614,            0.008614,            0.008614
