                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6155,                 1.4144,                  1.262,                 1.7772,                 1.7018,                 1.1829,                0.60003,                0.35478,                0.37207,                0.21654,                  1.581,                  1.397,                 1.3282,                 1.6336,                 1.7012,                  1.259,               0.008911,               0.008911,               0.008911
                     25,                 1.6247,                 1.4277,                 1.2757,                 1.8011,                 1.7438,                 1.1974,                0.47424,                0.36734,                0.36269,                0.21681,                 1.5834,                 1.3868,                 1.3464,                 1.6575,                  1.612,                  1.282,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6021,                 1.3927,                 1.2611,                 1.7738,                 1.7102,                 1.1873,                0.53342,                0.38252,                 0.3781,                0.22253,                 1.5728,                 1.3463,                 1.3295,                 1.6337,                 1.5563,                 1.2627,               0.008812,               0.008812,               0.008812
                     27,                 1.6151,                 1.3948,                 1.2614,                 1.7886,                 1.7031,                 1.1884,                0.56827,                0.35673,                0.37691,                0.22689,                 1.5662,                 1.3909,                 1.3288,                  1.641,                 1.6729,                 1.2625,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5866,                 1.3452,                  1.235,                 1.7738,                 1.6318,                 1.1619,                0.53516,                 0.3655,                0.38599,                0.22793,                 1.5614,                 1.3285,                  1.323,                 1.6337,                 1.5476,                 1.2599,               0.008713,               0.008713,               0.008713
                     29,                 1.5773,                  1.364,                 1.2445,                 1.7741,                 1.6637,                 1.1741,                0.47804,                0.38588,                0.39792,                0.23583,                 1.5317,                 1.2733,                 1.3155,                 1.6239,                 1.5205,                 1.2605,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5473,                 1.3203,                 1.2244,                 1.7237,                 1.6023,                 1.1541,                0.50103,                 0.3805,                0.39239,                0.22988,                 1.5357,                 1.3489,                 1.3074,                 1.6313,                 1.5607,                 1.2558,               0.008614,               0.008614,               0.008614
                     31,                  1.556,                 1.3195,                  1.228,                 1.7363,                 1.5963,                 1.1607,                0.61758,                0.37869,                  0.396,                0.23893,                 1.5232,                 1.2837,                 1.2953,                 1.6094,                 1.5026,                 1.2466,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5263,                 1.2764,                 1.2151,                   1.72,                 1.5583,                 1.1571,                0.53948,                 0.3803,                0.39626,                0.23988,                 1.5175,                 1.3015,                 1.2993,                 1.6178,                 1.5571,                 1.2529,               0.008515,               0.008515,               0.008515
                     33,                 1.5416,                 1.2953,                 1.2224,                 1.7371,                 1.5781,                  1.158,                0.46914,                0.39804,                0.40785,                0.24553,                 1.5023,                 1.2467,                 1.2966,                 1.5929,                  1.484,                 1.2446,              0.0084655,              0.0084655,              0.0084655
