                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9939,                 5.1343,                 3.6914,                0.00542,                0.01507,                0.00296,                0.00078,                 3.4107,                 4.1243,                  3.002,                0.07009,              0.0033233,              0.0033233
                      2,                 3.3433,                 3.9413,                 2.6105,                0.64513,                 0.0323,                0.02035,                0.00646,                 2.8897,                 3.9417,                 2.3461,               0.040057,              0.0066237,              0.0066237
                      3,                 2.9337,                 3.4459,                 2.1507,                0.42725,                0.05949,                0.01409,                0.00425,                 3.0823,                 4.3683,                 2.3592,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.5949,                  3.064,                 1.9319,                0.43223,                0.12947,                0.06474,                 0.0279,                 2.3245,                 4.4371,                 1.9158,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3879,                 2.7589,                 1.7799,                0.54649,                0.18122,                0.11967,                0.05773,                 2.2006,                 3.2198,                 1.8099,               0.009802,               0.009802,               0.009802
                      6,                 2.2927,                  2.598,                 1.7309,                0.67821,                0.16794,                0.12855,                0.06277,                 2.1873,                 2.4803,                 1.7601,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1927,                 2.3577,                 1.6097,                0.60619,                0.16791,                0.18403,                0.08696,                 2.0365,                 2.2361,                 1.6848,               0.009703,               0.009703,               0.009703
                      8,                 2.0864,                 2.1795,                 1.5521,                0.72699,                0.19234,                0.21599,                0.10716,                 1.9716,                 2.2207,                 1.6514,              0.0096535,              0.0096535,              0.0096535
                      9,                  2.043,                 2.1271,                 1.5209,                0.68239,                0.21586,                0.21008,                0.10324,                  1.952,                  2.161,                 1.6116,               0.009604,               0.009604,               0.009604
                     10,                 1.9899,                 1.9805,                 1.4833,                0.74857,                0.19328,                0.24382,                 0.1199,                  1.945,                  2.037,                 1.5897,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.961,                 2.0091,                 1.4844,                0.74108,                 0.2596,                0.28132,                0.14262,                 1.9041,                 1.9388,                 1.5725,               0.009505,               0.009505,               0.009505
