                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4994,                 1.2207,                 1.1977,                0.61267,                0.43986,                0.48637,                0.29198,                 1.5003,                 1.1832,                 1.2824,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.4834,                  1.208,                 1.1881,                0.52643,                0.42284,                0.46048,                0.27097,                 1.5049,                 1.1816,                 1.2826,               0.008317,               0.008317,               0.008317
                     37,                  1.483,                 1.2132,                 1.1911,                0.56872,                0.45447,                 0.4911,                0.29358,                 1.4932,                 1.1951,                 1.2686,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4917,                 1.2129,                 1.1807,                0.65566,                0.43015,                0.47437,                0.28411,                 1.4913,                 1.1994,                 1.2781,               0.008218,               0.008218,               0.008218
                     39,                 1.4293,                 1.1539,                  1.171,                0.66565,                0.42884,                0.47021,                0.28462,                 1.4833,                 1.1792,                 1.2749,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4726,                 1.1875,                 1.1896,                0.61882,                0.44945,                0.49809,                0.29968,                 1.4774,                 1.1309,                 1.2738,               0.008119,               0.008119,               0.008119
                     41,                 1.4549,                 1.1735,                 1.1771,                0.66967,                0.44066,                0.49868,                 0.2992,                 1.4774,                 1.1639,                 1.2723,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4608,                  1.182,                  1.181,                0.67427,                0.47081,                0.50928,                0.30411,                 1.4717,                 1.1288,                 1.2598,                0.00802,                0.00802,                0.00802
                     43,                 1.4567,                  1.151,                 1.1662,                0.66155,                0.46538,                0.50065,                0.30451,                 1.4767,                  1.157,                 1.2647,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4383,                 1.1438,                 1.1697,                0.55974,                 0.4928,                0.51058,                 0.3019,                 1.4635,                 1.1909,                 1.2564,               0.007921,               0.007921,               0.007921
                     45,                 1.4361,                 1.1347,                 1.1604,                0.59177,                0.47502,                0.51117,                0.30496,                 1.4577,                 1.1305,                 1.2481,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4295,                 1.1232,                 1.1592,                0.60341,                0.46376,                0.50336,                0.30115,                 1.4524,                 1.1476,                 1.2562,               0.007822,               0.007822,               0.007822
                     47,                  1.432,                 1.1508,                 1.1686,                0.66435,                0.47935,                0.51733,                0.31123,                  1.447,                  1.115,                 1.2516,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.3936,                 1.0983,                 1.1449,                0.67413,                0.47173,                0.53045,                0.32356,                 1.4269,                  1.094,                 1.2376,               0.007723,               0.007723,               0.007723
                     49,                 1.4134,                 1.1118,                 1.1476,                0.65575,                0.47959,                0.52521,                0.31434,                 1.4462,                 1.1473,                 1.2433,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.3879,                  1.076,                 1.1378,                0.64743,                0.48185,                0.50522,                0.30499,                 1.4403,                 1.1354,                 1.2373,               0.007624,               0.007624,               0.007624
