                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4853,                 1.1949,                 1.1912,                0.69135,                0.41949,                0.45937,                0.26823,                 1.5039,                  1.235,                 1.2798,               0.008317,               0.008317,               0.008317
                     36,                 1.5126,                 1.2182,                 1.2035,                0.56846,                0.42472,                0.45807,                0.27013,                 1.5103,                 1.2507,                  1.286,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4944,                 1.2163,                 1.1893,                0.65265,                0.41946,                0.46078,                0.26752,                 1.5112,                 1.2254,                 1.2811,               0.008218,               0.008218,               0.008218
                     38,                 1.4812,                 1.1746,                  1.178,                0.62979,                0.42352,                0.45413,                0.26849,                 1.4815,                 1.1885,                 1.2671,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.479,                 1.1969,                 1.1916,                0.51452,                 0.4331,                0.45634,                0.26992,                 1.4945,                 1.2395,                 1.2775,               0.008119,               0.008119,               0.008119
                     40,                  1.472,                 1.1946,                 1.1845,                0.58441,                0.44469,                0.46827,                0.27507,                  1.482,                  1.204,                 1.2723,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4802,                 1.1675,                 1.1826,                0.67287,                0.43866,                0.48065,                 0.2861,                 1.4819,                 1.1564,                 1.2631,                0.00802,                0.00802,                0.00802
                     42,                 1.4557,                 1.1621,                 1.1728,                0.60955,                0.46871,                  0.482,                0.29026,                 1.4685,                 1.1827,                 1.2575,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4363,                 1.1341,                 1.1669,                0.65406,                0.44282,                0.48741,                0.28655,                 1.4684,                 1.2081,                 1.2615,               0.007921,               0.007921,               0.007921
                     44,                  1.455,                 1.1389,                  1.168,                0.64833,                0.45347,                0.49597,                0.29271,                 1.4704,                 1.1333,                 1.2568,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4486,                 1.1428,                 1.1666,                0.67566,                0.45257,                0.50635,                0.30388,                 1.4681,                 1.1274,                 1.2648,               0.007822,               0.007822,               0.007822
                     46,                 1.4481,                 1.1414,                 1.1689,                 0.6319,                0.46503,                 0.4938,                0.28853,                 1.4601,                 1.1237,                 1.2575,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4314,                 1.1266,                 1.1588,                0.56546,                0.45733,                0.49008,                0.29603,                 1.4648,                 1.1319,                 1.2615,               0.007723,               0.007723,               0.007723
