               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11038,            0.053447,            0.071405,           0.0023608,            0.039438,           0.0020127,          0.00046177,            0.099896,            0.093794,             0.06521,             0.07009,           0.0033233,           0.0033233
                   1,            0.099783,            0.050395,            0.057104,           0.0043707,            0.095809,            0.004836,           0.0015017,             0.09337,            0.089551,             0.05705,            0.040057,           0.0066237,           0.0066237
                   2,            0.095902,            0.048282,            0.053031,             0.13905,            0.034776,           0.0025579,           0.0008382,             0.10254,             0.13409,            0.059958,           0.0099915,           0.0098911,           0.0098911
                   3,            0.092975,            0.049568,            0.049978,             0.55939,            0.065469,             0.01656,           0.0046567,             0.08893,             0.10289,            0.051063,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089795,            0.048937,            0.046494,             0.64231,            0.056065,            0.025069,           0.0076946,            0.085463,            0.092397,             0.04269,           0.0098515,           0.0098515,           0.0098515
                   5,            0.086832,            0.048596,            0.042327,             0.63197,            0.061901,            0.022649,           0.0069757,            0.082966,            0.094198,            0.049325,            0.009802,            0.009802,            0.009802
                   6,            0.084438,            0.048064,            0.037842,             0.61022,             0.13175,            0.056356,            0.017795,            0.078453,            0.093412,             0.03497,           0.0097525,           0.0097525,           0.0097525
                   7,             0.08195,            0.048103,            0.034428,             0.66047,             0.14841,            0.087526,            0.029514,            0.076395,            0.090062,            0.031953,            0.009703,            0.009703,            0.009703
                   8,            0.079856,            0.047364,            0.032234,             0.63895,             0.16937,             0.09484,            0.032771,            0.077228,            0.092844,             0.03294,           0.0096535,           0.0096535,           0.0096535
                   9,            0.079117,            0.047029,            0.030473,             0.71405,             0.13591,             0.10849,             0.03973,            0.074467,             0.09112,            0.037743,            0.009604,            0.009604,            0.009604
                  10,            0.077488,            0.045632,            0.027747,             0.72514,             0.13945,              0.1305,            0.047096,            0.073021,             0.08503,            0.029541,           0.0095545,           0.0095545,           0.0095545
                  11,            0.077122,            0.045235,            0.026231,             0.67147,             0.17828,             0.11463,            0.038785,            0.076129,            0.088727,             0.03052,            0.009505,            0.009505,            0.009505
                  12,            0.076033,            0.044856,            0.026348,             0.68946,             0.15771,             0.12079,            0.043159,            0.074004,             0.08719,            0.026245,           0.0094555,           0.0094555,           0.0094555
                  13,            0.075152,             0.04474,            0.024592,             0.73901,             0.19698,             0.18684,            0.075593,            0.067856,            0.087907,            0.023532,            0.009406,            0.009406,            0.009406
                  14,             0.07365,            0.044319,            0.022953,              0.7357,             0.17597,             0.16928,            0.062191,            0.068935,            0.092065,            0.022783,           0.0093565,           0.0093565,           0.0093565
                  15,            0.073379,            0.043332,            0.022884,             0.75546,             0.20808,             0.19797,            0.078234,            0.068577,            0.089354,            0.025378,            0.009307,            0.009307,            0.009307
                  16,            0.071943,            0.042543,            0.021159,              0.7825,             0.22249,             0.23516,             0.10451,            0.065067,            0.087048,            0.020809,           0.0092575,           0.0092575,           0.0092575
                  17,            0.071458,            0.042003,            0.020023,             0.75922,             0.21674,             0.22156,            0.086825,            0.065819,            0.084957,            0.021973,            0.009208,            0.009208,            0.009208
                  18,            0.071508,            0.042906,            0.021562,             0.71992,             0.25165,             0.24328,            0.090978,             0.06439,            0.084369,            0.020846,           0.0091585,           0.0091585,           0.0091585
                  19,            0.070119,            0.041783,            0.019858,             0.76145,             0.22842,             0.25531,             0.11051,            0.063565,             0.08623,            0.018985,            0.009109,            0.009109,            0.009109
                  20,            0.069792,            0.042039,            0.019461,             0.76809,             0.25795,             0.26506,             0.11806,            0.063914,            0.084352,             0.02204,           0.0090595,           0.0090595,           0.0090595
                  21,            0.069288,            0.041942,            0.019502,             0.75194,              0.2663,             0.26486,             0.10761,            0.062802,             0.08783,            0.019032,             0.00901,             0.00901,             0.00901
                  22,            0.068787,            0.041554,            0.017945,             0.74025,             0.26854,             0.26638,              0.1144,            0.064297,            0.081431,            0.019024,           0.0089605,           0.0089605,           0.0089605
                  23,            0.067584,            0.040409,            0.017285,             0.79373,             0.26518,             0.29602,             0.13335,            0.061882,            0.080895,            0.017372,            0.008911,            0.008911,            0.008911
                  24,            0.067588,            0.040309,            0.016882,              0.7892,             0.26936,             0.29337,              0.1373,            0.061739,              0.0798,            0.016312,           0.0088615,           0.0088615,           0.0088615
                  25,            0.066805,            0.040327,            0.016429,             0.79531,             0.26755,             0.31606,             0.14094,            0.061022,            0.077328,            0.016544,            0.008812,            0.008812,            0.008812
                  26,            0.066501,            0.040633,            0.016102,             0.69971,             0.30245,             0.34032,             0.15462,            0.060122,            0.078034,            0.015986,           0.0087625,           0.0087625,           0.0087625
                  27,            0.065993,            0.040735,            0.015709,             0.75883,             0.30218,             0.32989,             0.14587,            0.060504,            0.077187,            0.015017,            0.008713,            0.008713,            0.008713
                  28,            0.066233,            0.040103,            0.016004,              0.7414,             0.32182,             0.32203,             0.14865,            0.059148,             0.07789,            0.016661,           0.0086635,           0.0086635,           0.0086635
                  29,            0.065355,            0.040674,            0.015386,              0.7914,             0.30196,              0.3452,              0.1572,            0.059269,            0.078169,            0.014108,            0.008614,            0.008614,            0.008614
                  30,            0.064464,            0.039418,            0.014903,             0.74296,               0.299,             0.31496,             0.14248,            0.059817,            0.077378,            0.014852,           0.0085645,           0.0085645,           0.0085645
                  31,            0.065201,            0.039537,            0.014566,             0.76941,             0.30072,             0.33823,              0.1532,            0.058753,            0.076041,             0.01472,            0.008515,            0.008515,            0.008515
                  32,            0.064256,            0.039192,            0.013727,             0.67983,             0.33095,             0.34142,             0.16384,            0.057697,            0.075733,            0.013117,           0.0084655,           0.0084655,           0.0084655
                  33,            0.063839,            0.039065,            0.013988,             0.74959,             0.32891,             0.34764,                0.16,            0.058097,             0.07526,            0.014434,            0.008416,            0.008416,            0.008416
                  34,            0.063623,            0.038758,            0.013682,             0.77889,             0.33584,             0.36161,              0.1672,            0.057193,            0.074765,            0.013218,           0.0083665,           0.0083665,           0.0083665
                  35,            0.063592,            0.038572,            0.013324,             0.73682,             0.34089,             0.32747,             0.15366,            0.057292,            0.075678,            0.013659,            0.008317,            0.008317,            0.008317
                  36,             0.06303,            0.039249,            0.013263,             0.71717,             0.33801,             0.36704,             0.17438,            0.057316,             0.07532,            0.012327,           0.0082675,           0.0082675,           0.0082675
