                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0807,                 5.0417,                 3.7096,                0.54528,                0.04109,                0.00402,                0.00114,                 3.4265,                 11.266,                 3.1492,                0.07009,              0.0033233,              0.0033233
                      2,                 3.4278,                 3.8888,                 2.6355,                0.51728,                0.04446,                0.01596,                0.00512,                 2.9337,                 3.5187,                 2.4216,               0.040057,              0.0066237,              0.0066237
                      3,                 2.9331,                 3.3319,                 2.1409,                0.05108,                0.11562,                0.04683,                0.01736,                 2.6506,                 4.7271,                 2.1035,              0.0099915,              0.0098911,              0.0098911
                      4,                 2.5547,                 2.9272,                  1.875,                0.45224,                0.15891,                0.11411,                0.05108,                 2.3027,                 2.6877,                 1.8577,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.328,                 2.5254,                 1.6921,                0.59832,                0.18782,                0.15123,                0.07047,                 2.1019,                 2.5551,                  1.712,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.1679,                 2.2441,                 1.5968,                0.71808,                0.21117,                0.20462,                  0.099,                 2.0067,                 2.1947,                 1.6267,               0.009802,               0.009802,               0.009802
                      7,                 2.0749,                 2.1295,                 1.5288,                0.71042,                0.20282,                0.22165,                0.10652,                 1.9944,                 2.1087,                 1.6128,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9937,                 1.9708,                 1.4835,                0.72855,                0.18717,                0.20637,                 0.0991,                 1.9834,                  2.385,                 1.5921,               0.009703,               0.009703,               0.009703
                      9,                 1.9553,                 1.9316,                  1.461,                0.70047,                0.25363,                0.27593,                0.14646,                 1.8438,                 1.8366,                 1.5099,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.9075,                 1.8017,                  1.418,                0.68749,                0.27078,                0.27652,                0.14496,                  1.814,                 1.8283,                 1.4845,               0.009604,               0.009604,               0.009604
