                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5432,                 1.2924,                 1.2143,                0.60736,                 0.4519,                0.46578,                0.26636,                 1.5246,                 1.2825,                 1.2921,               0.008317,               0.008317,               0.008317
                     36,                 1.5158,                 1.2442,                 1.1908,                0.62526,                0.45033,                0.46031,                0.25921,                 1.5194,                 1.2265,                 1.2871,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5018,                 1.2495,                 1.2088,                0.63222,                0.43168,                0.45479,                0.26773,                 1.5132,                 1.2427,                 1.2796,               0.008218,               0.008218,               0.008218
                     38,                  1.506,                 1.2314,                 1.1857,                0.65588,                0.44688,                0.47496,                0.27621,                  1.503,                 1.2507,                 1.2793,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.504,                 1.2543,                  1.191,                0.61933,                0.45196,                0.47054,                0.27585,                 1.4835,                 1.1988,                 1.2714,               0.008119,               0.008119,               0.008119
                     40,                  1.494,                 1.2162,                 1.1874,                0.64888,                0.43667,                0.47713,                0.27937,                 1.5014,                 1.1867,                 1.2741,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4901,                 1.2176,                 1.1832,                0.65168,                0.45577,                0.48927,                0.28782,                  1.482,                 1.1681,                 1.2583,                0.00802,                0.00802,                0.00802
                     42,                 1.4745,                 1.2111,                 1.1784,                0.66196,                 0.4667,                0.48962,                0.28955,                 1.4881,                   1.19,                 1.2669,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4764,                 1.1811,                 1.1742,                0.68997,                 0.4584,                0.49389,                0.29798,                 1.4581,                 1.1527,                 1.2509,               0.007921,               0.007921,               0.007921
                     44,                 1.4721,                 1.2548,                 1.1761,                0.68051,                0.47121,                0.49948,                0.29876,                 1.4645,                 1.1473,                 1.2516,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4538,                 1.1804,                 1.1651,                0.67269,                0.47566,                0.50728,                0.30366,                  1.465,                 1.1956,                 1.2467,               0.007822,               0.007822,               0.007822
                     46,                 1.4601,                 1.1578,                 1.1638,                0.65165,                0.47418,                 0.5035,                0.30576,                 1.4346,                  1.148,                  1.237,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4401,                 1.1446,                 1.1602,                0.65166,                0.47101,                0.50217,                0.29675,                 1.4482,                 1.1861,                 1.2398,               0.007723,               0.007723,               0.007723
                     48,                 1.4403,                 1.1266,                 1.1486,                0.68328,                0.48762,                0.51995,                0.30991,                 1.4453,                 1.1307,                 1.2352,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4449,                  1.129,                 1.1441,                0.61518,                0.48624,                0.51345,                0.30446,                 1.4476,                 1.1511,                 1.2363,               0.007624,               0.007624,               0.007624
                     50,                 1.4206,                 1.1286,                 1.1577,                0.55193,                0.49133,                0.50252,                0.29959,                 1.4466,                 1.1641,                 1.2379,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4167,                 1.1171,                 1.1542,                0.60926,                0.48373,                0.53018,                0.31506,                 1.4474,                 1.1426,                 1.2406,               0.007525,               0.007525,               0.007525
                     52,                 1.4334,                 1.1199,                 1.1474,                 0.6284,                0.50143,                  0.523,                0.31367,                 1.4434,                 1.1216,                   1.23,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4062,                  1.099,                 1.1424,                0.68102,                0.49822,                0.52697,                0.31491,                  1.432,                  1.119,                  1.229,               0.007426,               0.007426,               0.007426
                     54,                 1.4125,                 1.0967,                 1.1382,                0.66618,                0.49567,                0.52222,                0.31298,                 1.4329,                 1.0853,                 1.2273,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4131,                 1.0989,                 1.1468,                0.68044,                0.50524,                0.53953,                0.32749,                 1.4308,                 1.0998,                 1.2287,               0.007327,               0.007327,               0.007327
                     56,                 1.4014,                 1.0879,                  1.132,                0.68268,                0.51228,                0.54698,                0.33104,                 1.4166,                 1.0917,                 1.2189,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3889,                 1.0832,                 1.1326,                0.58431,                0.50954,                 0.5372,                0.32268,                 1.4223,                 1.0995,                 1.2224,               0.007228,               0.007228,               0.007228
                     58,                   1.41,                    1.1,                 1.1439,                0.70233,                0.50675,                0.54416,                0.32696,                 1.4231,                 1.0827,                 1.2179,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3981,                 1.0715,                 1.1227,                0.69664,                0.51031,                0.54843,                 0.3302,                 1.4104,                 1.0866,                 1.2141,               0.007129,               0.007129,               0.007129
                     60,                 1.3758,                 1.0583,                 1.1288,                0.62377,                0.50753,                0.54366,                0.32725,                 1.4099,                 1.0979,                  1.215,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3843,                 1.0574,                 1.1246,                0.59643,                0.50747,                0.53813,                0.32627,                 1.4037,                 1.0794,                 1.2081,                0.00703,                0.00703,                0.00703
                     62,                 1.3921,                 1.0817,                 1.1316,                0.66286,                0.50808,                0.54252,                0.33308,                 1.4061,                 1.0993,                 1.2156,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3807,                 1.0487,                 1.1226,                 0.6939,                0.50178,                0.54642,                0.33218,                 1.4107,                 1.0628,                 1.2181,               0.006931,               0.006931,               0.006931
                     64,                  1.402,                 1.0733,                 1.1272,                0.71067,                0.49326,                0.54819,                0.32868,                 1.3963,                 1.0651,                 1.2041,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3634,                 1.0232,                 1.1116,                0.62911,                 0.5152,                0.55132,                0.33335,                 1.4054,                   1.07,                 1.2091,               0.006832,               0.006832,               0.006832
                     66,                 1.3591,                 1.0283,                 1.1219,                0.66765,                0.53107,                0.55277,                0.33424,                 1.4087,                 1.0592,                 1.2137,              0.0067825,              0.0067825,              0.0067825
                     67,                   1.35,                  1.009,                 1.1149,                0.68155,                0.51926,                 0.5627,                0.33588,                 1.3902,                 1.0561,                 1.2087,               0.006733,               0.006733,               0.006733
                     68,                 1.3858,                 1.0663,                 1.1257,                0.68219,                0.52232,                0.58127,                0.34366,                  1.391,                 1.0439,                 1.2026,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3656,                 1.0444,                 1.1132,                0.68223,                0.53627,                0.56261,                0.34514,                 1.3911,                 1.0423,                 1.2092,               0.006634,               0.006634,               0.006634
                     70,                 1.3563,                 1.0464,                 1.1166,                0.61172,                0.52007,                0.55504,                0.34127,                 1.3902,                 1.0631,                 1.2016,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3533,                 1.0349,                 1.1127,                0.73597,                0.51677,                0.55645,                0.34174,                 1.3814,                 1.0467,                 1.1968,               0.006535,               0.006535,               0.006535
                     72,                 1.3444,                  1.014,                 1.1065,                0.69147,                0.52127,                0.57753,                0.34182,                 1.3788,                  1.015,                 1.1914,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3391,                0.99813,                 1.0998,                0.69267,                0.51807,                 0.5589,                0.34346,                 1.3825,                 1.0334,                 1.1971,               0.006436,               0.006436,               0.006436
                     74,                 1.3376,                0.99931,                 1.1046,                0.68076,                0.53402,                0.56112,                0.33646,                 1.3914,                 1.0403,                 1.2016,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3345,                 1.0078,                 1.0985,                 0.6895,                0.51751,                 0.5589,                0.34342,                 1.3865,                 1.0474,                 1.1938,               0.006337,               0.006337,               0.006337
                     76,                 1.3233,                 1.0024,                  1.103,                0.70439,                0.52509,                0.56203,                0.34757,                 1.3737,                 1.0353,                 1.1939,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3225,                 1.0032,                 1.0968,                 0.6932,                0.54059,                0.57588,                0.34879,                 1.3775,                 1.0272,                 1.1902,               0.006238,               0.006238,               0.006238
                     78,                 1.3438,                0.99365,                 1.1019,                0.68255,                0.53865,                0.56589,                0.34624,                 1.3784,                 1.0342,                  1.189,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3147,                0.98727,                 1.0981,                0.69175,                0.53497,                0.56273,                 0.3459,                 1.3649,                  1.016,                 1.1881,               0.006139,               0.006139,               0.006139
                     80,                  1.317,                0.95964,                 1.0907,                0.66895,                0.53355,                0.56147,                0.34382,                 1.3742,                 1.0242,                 1.1934,              0.0060895,              0.0060895,              0.0060895
