                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6522,                 1.4473,                 1.2826,                 1.8164,                 1.7742,                 1.1947,                0.46127,                0.34019,                0.34646,                0.19767,                 1.6346,                 1.4543,                  1.371,                 1.6785,                  1.735,                 1.2865,               0.008911,               0.008911,               0.008911
                     25,                 1.6273,                 1.4141,                 1.2691,                 1.8141,                 1.7241,                 1.1852,                0.43788,                0.34872,                0.35486,                0.20816,                 1.5837,                 1.4274,                 1.3394,                 1.6415,                 1.6649,                 1.2647,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6078,                 1.4087,                 1.2654,                 1.7828,                 1.7278,                 1.1806,                0.58655,                0.32528,                0.35225,                0.20468,                 1.5781,                 1.4058,                 1.3429,                 1.6447,                 1.7103,                 1.2733,               0.008812,               0.008812,               0.008812
                     27,                 1.6027,                  1.371,                 1.2555,                 1.7885,                 1.6943,                 1.1831,                0.58642,                0.38042,                0.37887,                 0.2188,                 1.5807,                 1.3138,                 1.3329,                 1.6443,                 1.5615,                 1.2692,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5854,                 1.3597,                 1.2415,                 1.7607,                 1.6541,                 1.1696,                0.52219,                0.36863,                0.37361,                 0.2163,                 1.5692,                 1.4011,                 1.3249,                 1.6452,                 1.6509,                 1.2678,               0.008713,               0.008713,               0.008713
                     29,                 1.5765,                 1.3638,                  1.242,                 1.7633,                 1.6697,                 1.1689,                0.49315,                0.39653,                0.38151,                0.21613,                 1.5715,                  1.376,                 1.3223,                 1.6354,                 1.6616,                 1.2656,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5577,                 1.3114,                 1.2314,                 1.7461,                 1.6019,                 1.1658,                0.58759,                0.37465,                0.38508,                0.22426,                 1.5314,                 1.3466,                  1.304,                  1.603,                  1.647,                 1.2474,               0.008614,               0.008614,               0.008614
                     31,                  1.579,                 1.3297,                 1.2311,                 1.7665,                 1.6205,                 1.1617,                0.56652,                 0.3613,                0.38125,                0.22285,                 1.5328,                 1.3156,                 1.3129,                 1.6127,                 1.5893,                 1.2576,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.568,                 1.3086,                 1.2245,                 1.7506,                 1.5788,                 1.1507,                0.56679,                0.39074,                0.40158,                0.22829,                 1.5468,                 1.3283,                 1.3112,                 1.6228,                 1.5782,                 1.2548,               0.008515,               0.008515,               0.008515
                     33,                 1.5328,                 1.2805,                 1.2195,                 1.7188,                 1.5571,                 1.1532,                0.61079,                0.40503,                0.40091,                0.23543,                  1.515,                 1.2611,                 1.3008,                 1.6065,                 1.5091,                 1.2447,              0.0084655,              0.0084655,              0.0084655
